kode pengungsian,name,alamat lengkap,latitude,longitude,kapasitas (jiwa)
JPM1,Istiqlal Mosque,"Jl. Taman Wijaya Kusuma, Ps. Baru, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10710",-6.17017,106.83139,1000
JPM2,Great Mosque of Sunda Kelapa,"Jl. Taman Sunda Kelapa No.16, Menteng, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310",-6.2013941,106.8321256,1000
JPM3,Masjid Cut Meutia,"Jl. Taman Cut Mutiah No.1 10, RT.10/RW.5, Kb. Sirih, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10350",-6.1872687,106.8333041,1000
JPM4,Baitul Ihsan Mosque,"Komplek Bank Indonesia, Jl. Budi Kemuliaan No.23, RT.2/RW.3, Gambir, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10110",-6.1804956,106.8188205,1000
JPM5,Al-I'tisham Mosque,"Jl. H. Abdul Jalil No.9, RT.10/RW.9, Karet Tengsin, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10250",-6.2048214,106.8187024,1000
JPM6,Masjid Raya Al Arif,"RRFV+J89, Jl. St. Senen, RW.3, Senen, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10410",-6.17597,106.8433727,1000
JPM7,Cut Nyak Dien Mosque,"Jl. Johar No.7 5, RT.5/RW.3, Gondangdia, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10330",-6.1874785,106.8315713,1000
JPM8,"Al Ma'mur Jami Mosque, Kebon Kacang","Jl. K.H. Mas Mansyur No.6, RT.14/RW.7, Kb. Kacang, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10240",-6.189247,106.815138,1000
JPM9,Masjid Fatahillah,"Jl. Medan Merdeka Sel. No.8-9 11, RT.11/RW.2, Gambir, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10110",-6.1815787,106.8283894,1000
JPM10,Al-Makmur Mosque,"Jl. Kepu Dalam II No.02 2, RT.6/RW.2, Kemayoran, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10620",-6.1642666,106.8427961,1000
JPM11,Masjid Jami'e Darussalam,"No, Jl. Kotabumi Ujung No.23, RT.8, Kb. Melati, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10230",-6.1991016,106.8195564,1000
JPM12,"Ar-Rahmah Mosque, Jakarta Islamic Hospital","Gedung Utama Rumah Sakit Islam Jakarta ( RSIJ, Jl. Cemp. Putih Tengah I No.11, RT.11/RW.5, Cemp. Putih Tim., Kec. Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10510",-6.1729296,106.8716773,1000
JPM13,Masjid Jami' Cikini Al Ma'mur,"Jl. Raden Saleh Raya No.30, RT.3/RW.3, Cikini, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10330",-6.1913156,106.8427327,1000
JPM14,Al-Riyadh Mosque Kwitang,"Jl. Kembang VI No.4A 1, RT.1/RW.2, Kwitang, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10420",-6.1841368,106.8370243,1000
JPM15,Amir Hamzah Mosque,"8, Jl. Cikini Raya No.73, RT.8/RW.2, Cikini, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10330",-6.188685,106.8402513,1000
JPM16,Al Istiqomah Mosque,"Jl. K.H. Mas Mansyur No.57 5, RT.5/RW.9, Kb. Melati, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10230",-6.196299,106.814465,1000
JPM17,MASJID WALIKOTA JAKARTA PUSAT,"Jl. Petojo Enclek III No.15 11, RT.11/RW.8, Petojo Sel., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10160",-6.1726213,106.8184091,1000
JPM18,Al-A’raf Great Mosque,"Jl. Kramat Kwitang No.13 1, RT.1/RW.7, Kwitang, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10420",-6.1801656,106.8404485,1000
JPM19,Lautze Mosque,"Jl. Lautze No.87 89, RT.10/RW.3, Karang Anyar, Sawah Besar, Central Jakarta City, Jakarta 10740",-6.1588926,106.8297858,1000
JPM20,Masjid At-Tanwir,"RRGJ+332, RT.5/RW.2, Gambir, Central Jakarta City, Jakarta 10110",-6.174858,106.8301374,1000
JPM21,Baiturrahim Mosque,"Jl. Medan Merdeka Utara No.9-13, RT.2/RW.3, Gambir, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10110",-6.1701935,106.8235069,1000
JPM22,Masjid Assyafi'iyyah,"Utara I Jl. Pos No.5, RT.4/RW.1, Ps. Baru, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10710",-6.1661476,106.8323348,1000
JPM23,Masjid Baitul Huda,"Jalon Kb. Kacang XXXI No.31, Kb. Kacang, Kota PusatTanahabang,, RT.6/RW.4, Kb. Kacang, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10240",-6.1931542,106.8204238,1000
JPM24,Fatahillah Mosque,"RR67+PJ2, Kampung Bali, Tanah Abang, Central Jakarta City, Jakarta 10250",-6.1882272,106.8140137,1000
JPM25,Masjid Alia Cikini,"Jl. Cikini Raya No.32 12, RT.12/RW.5, Cikini, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10330",-6.1909126,106.8378768,1000
JPM26,Al-Hakim Grand Mosque,"Jl. Sidoarjo No.3 3, RT.3/RW.5, Menteng, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310",-6.1969964,106.8291072,1000
JPM27,Masjid Al-Fauz Kantor Pemerintah Kota Administrasi Jakarta Pusat,"Jl. Petojo Enclek XIII No.11, RT.11/RW.8, Petojo Sel., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10160",-6.172719,106.8183658,1000
JPM28,Masjid Asy Syifa RSCM,"Jl. Kimia, Pegangsaan, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10320",-6.197364,106.844226,1000
JPM29,Al Amanah Mosque,"Jl. Lap. Banteng Timur No.2 - 4, Ps. Baru, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10710",-6.1678576,106.8373596,1000
JPM30,Said Na'um Jami Mosque,"Jl. Kb. Kacang 9 No.25 14, RT.14/RW.5, Kb. Kacang, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10240",-6.1911963,106.8180785,1000
JPM31,Masjid Syuhada,"Jl. Ir. H. Juanda No.19, RT.14/RW.4, Kb. Klp., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10120",-6.1659781,106.8270444,1000
JPM32,Masjid Al-Makmur,"1, Jl. Raden Saleh Raya No.30, RT.3/RW.3, Cikini, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10330",-6.191333,106.8427271,1000
JPM33,Masjid Al-Hidayah,"Jl. Balikpapan I No.10, Petojo Utara, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10130",-6.1694485,106.8123818,1000
JPM34,Masjid Al-Hikmah Sarinah,"Gg. Masjid No.1 2, RT.2/RW.1, Kb. Sirih, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10340",-6.1858151,106.8243931,1000
JPM35,Assuhaimiah Jami Mosque,"Jl. Kebon Sirih Barat I No.15, RT.11/RW.2, Kb. Sirih, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10340",-6.1843038,106.8266361,1000
JPM36,At-Thahirah Mosque,"Jl. Senen Raya No.6, Senen, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10410",-6.1738407,106.8378916,1000
JPM37,Masjid Ar-Rayyan,"Jalan Kebon Sirih No.46 Gambir Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10110, RT.11/RW.2, Gambir, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10110",-6.183124,106.825366,1000
JPM38,Masjid Al Istiqomah,"Gg. Kingkit IV No.33 8, RT.8/RW.4, Kb. Klp., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10120",-6.1653033,106.8277532,1000
JPM39,Al-Azhar Mosque,"Jl. Cempaka Putih Barat III No. 25 RT 06 RW.03, Cempaka Putih, RT.6/RW.3, Cemp. Putih Bar., Jakarta Pusat, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10520",-6.1746943,106.8621076,1000
JPM40,Masjid At Taqwa,"Jl. K.H. Mas Mansyur No.100 7, RT.6/RW.17, Kb. Melati, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10230",-6.1976707,106.8141849,1000
JPM41,Masjid Jami Al Istikharah,"Jl. Kernolong Dalam 4 No.41 7, RT.7/RW.8, Kenari, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10430",-6.1871873,106.8414564,1000
JPM42,Masjid Baitul Istiqomah (LDII),"Jl. Kali Pasir Guru Demar No.8 4, RT.4/RW.1, Cikini, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10330",-6.1882658,106.837884,1000
JPM43,Masjid Al-Musyarrofah,"RR3Q+F9M, RT.7/RW.2, Gondangdia, Menteng, Central Jakarta City, Jakarta 10350",-6.196289,106.83841,1000
JPM44,At-Taqwa Mosque,"Jl. Medan Merdeka Barat No.9 2, RT.2/RW.3, Gambir, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10110",-6.1750488,106.821604,1000
JPM45,Masjid Nurul Taqwa Indosat Ooredoo,"Jl. Medan Merdeka Barat, RT.2/RW.3, Gambir, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10110",-6.1803632,106.8219639,1000
JPM46,Masjid Jami' Taman Cilamaya,"Jl. Ciujung No.25 8, RT.8/RW.1, Cideng, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10150",-6.1776671,106.8101282,1000
JPM47,Masjid Nurul Falah,"Jl. M.I. Ridwan Rais No.1 7, RT.7/RW.1, Gambir, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10110",-6.1800127,106.8336308,1000
JPM48,Masjid Attaibin Senen,"Jl. Senen Raya IV, RW.2, Senen, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10410",-6.1730297,106.8399113,1000
JPM49,Al-Barokah Mosque,"Jalan Kh. Mas Mansyur No.25A, Kebon Kacang, Tanah Abang, RW.10, Kb. Kacang, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10230",-6.1921689,106.8151271,1000
JPM50,Masjid Jami' Al-Uswah,"Jl. Petojo Viy IV No.17, RT.9/RW.6, Cideng, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10150",-6.171628,106.8071505,1000
JPM51,Masjid Sudirman,"Gedung Dewan Pers, Jl. Medan Merdeka Sel. No.11, RT.11/RW.2, Gambir, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10110",-6.1811375,106.8268875,1000
JPM52,Masjid Al Amanah,"Jl. Taman Jatibaru No.1, RT.17/RW.1, Cideng, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10150",-6.1796758,106.8106739,1000
JPM53,Masjid Nurul Amal,"Jl. Petojo Sabangan I No.1 4, RT.4/RW.5, Petojo Sel., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10160",-6.1745329,106.8150058,1000
JPM54,Masjid AsySyifa,"Jalan Abdul Rahman Saleh No. 24, RT.6 / RW.1, Senen, RT.6/RW.1, Senen, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10410",-6.1753526,106.8382085,1000
JPM55,Masjid Taman Menteng,"RT.3/RW.005, Menteng, RT.3/RW.5, Menteng, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310",-6.196603,106.8297163,1000
JPM56,MASJID JAMI' AL - ISTIQOMAH,"Jl. Petojo Binatu II 4, RT.6/RW.8, Petojo Utara, Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10130",-6.1675555,106.8177427,1000
JPM57,Masjid Umar Bin Khaththab - Pasar Senen Blok.3 lt.4,"Pasar Senen Blok.3 lantai 4, RW.3, Senen, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10410",-6.176318,106.8422807,1000
JPM58,Al-Furqan Mosque,"Jl. Kramat Raya No.45 3, RT.3/RW.4, Kramat, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10450",-6.1846557,106.8445803,1000
JPM59,Al Fataa Mosque,"Jl. Menteng Raya No.58 1, RT.1/RW.9, Kb. Sirih, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10330",-6.1845722,106.8342152,1000
JPM60,Masjid An Nur,"Jl. Petojo Sabangan XI No.28 10, RT.10/RW.4, Petojo Sel., Kecamatan Gambir, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10160",-6.1790442,106.814181,1000
