kode pengungsian,alamat lengkap,latitude,longitude,kapasitas (jiwa)
JPM1,"Jl. Taman Wijaya Kusuma, Ps. Baru, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10710",-6.17017,106.83139,1200
JPM2,"Jl. H. Abdul Jalil No.9, RT.10/RW.9, Karet Tengsin, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10250",-6.2048214,106.8187024,2100
JPM3,"Jl. K.H. Mas Mansyur No.6, RT.14/RW.7, Kb. Kacang, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10240",-6.189247,106.815138,500
JPM4,"Jl. Kepu Dalam II No.02 2, RT.6/RW.2, Kemayoran, Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10620",-6.1642666,106.8427961,2900
JPM5,"No, Jl. Kotabumi Ujung No.23, RT.8, Kb. Melati, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10230",-6.1991016,106.8195564,2400
JPM6,"Jl. K.H. Mas Mansyur No.57 5, RT.5/RW.9, Kb. Melati, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10230",-6.196299,106.814465,2900
JPM7,"Jl. Lautze No.87 89, RT.10/RW.3, Karang Anyar, Sawah Besar, Central Jakarta City, Jakarta 10740",-6.1588926,106.8297858,3000
JPM8,"Utara I Jl. Pos No.5, RT.4/RW.1, Ps. Baru, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10710",-6.1661476,106.8323348,1300
JPM9,"Jalon Kb. Kacang XXXI No.31, Kb. Kacang, Kota PusatTanahabang,, RT.6/RW.4, Kb. Kacang, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10240",-6.1931542,106.8204238,2000
JPM10,"RR67+PJ2, Kampung Bali, Tanah Abang, Central Jakarta City, Jakarta 10250",-6.1882272,106.8140137,3000
JPM11,"Jl. Lap. Banteng Timur No.2 - 4, Ps. Baru, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10710",-6.1678576,106.8373596,2200
JPM12,"Jl. Kb. Kacang 9 No.25 14, RT.14/RW.5, Kb. Kacang, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10240",-6.1911963,106.8180785,1300
JPM13,"Jl. K.H. Mas Mansyur No.100 7, RT.6/RW.17, Kb. Melati, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10230",-6.1976707,106.8141849,1800
JPM14,"Jalan Kh. Mas Mansyur No.25A, Kebon Kacang, Tanah Abang, RW.10, Kb. Kacang, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10230",-6.1921689,106.8151271,1800
JPM15,"Jl. Kb. Kacang 6 No.62 14, RT.2/RW.5, Kb. Kacang, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10240",-6.190749,106.8176688,2300
JPM16,"Jl. Taman Kb. Sirih III No.8, RT.10/RW.10, Kp. Bali, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10250",-6.1843468,106.8211298,2000
JPM17,"Jalan Kramat Sentiong,Kemayoran., RT.13/RW.1, Johar Baru, RT.13/RW.1, Johar Baru, Jakarta Pusat, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10560",-6.1830835,106.851992,1600
JPM18,"Jl. Dr. Sutomo No.8, Ps. Baru, Kecamatan Sawah Besar, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10710",-6.1656277,106.837501,2400
JPM19,"Jl. Kb. Kacang 1 No.107 12, RT.12/RW.2, Kb. Kacang, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10240",-6.1881347,106.8205793,2300
JPM20,"Rusun Tanah Tinggi, 10540, RT.1/RW.014, Tanah Tinggi, Kec. Johar Baru, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10540",-6.1767837,106.8495013,2100
JPM21,"Jl. Kb. Kacang 48 No.8 3, RT.3/RW.8, Kb. Kacang, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10240",-6.1932819,106.8160947,1000
