kode banjir,alamat lengkap,latitude,longitude,total korban (jiwa),radius bahaya
JPB113,"RT 1, 02/RW 3, Pasar Baru, Sawah Besar ",-6.161604724,106.8335179,349,291.8
JPB113,"RT 04, 08, 10/RW 3, Pasar Baru, Sawah Besar ",-6.161231384,106.8363396,349,291.8
JPB113,"RT 03, 05, 06/RW 3, Pasar Baru, Sawah Besar ",-6.160548704,106.8355886,349,291.8
JPB114,"RT 1/RW 4, Pasar Baru, Sawah Besar ",-6.164710046,106.8352733,489,407.9
JPB114,"RT 06, 07/RW 4, Pasar Baru, Sawah Besar ",-6.163004982,106.8339644,488,407.9
JPB114,"RT 9, 10/RW 4, Pasar Baru, Sawah Besar ",-6.162610309,106.8369362,488,407.9
JPB114,"RT 11, 12/RW 4, Pasar Baru, Sawah Besar ",-6.163292986,106.8358955,488,407.9
JPB114,"RT 02, 13/RW 4, Pasar Baru, Sawah Besar ",-6.163623657,106.836668,488,407.9
JPB114,"RT 14, 15/RW 4, Pasar Baru, Sawah Besar ",-6.164114331,106.834651,488,407.9
JPB115,"RT 7/RW 5, Pasar Baru, Sawah Besar ",-6.158688884,106.8351592,609,405.6
JPB115,"RT 8, 13/RW 5, Pasar Baru, Sawah Besar ",-6.15780353,106.8361785,606,405.6
JPB115,"RT 9/RW 5, Pasar Baru, Sawah Besar ",-6.158347543,106.8356098,606,405.6
JPB115,"RT 10/RW 5, Pasar Baru, Sawah Besar ",-6.158827554,106.8344726,606,405.6
JPB116,"RT 1, 03, 04/RW 6, Pasar Baru, Sawah Besar ",-6.159483935,106.8318684,411,342.4
JPB116,"RT 05, 06/RW 6, Pasar Baru, Sawah Besar ",-6.159281264,106.8311281,409,342.4
JPB116,"RT 07, 08/RW 6, Pasar Baru, Sawah Besar ",-6.16083863,106.83145,409,342.4
JPB221,"RT 11, 12/RW 1, Gunung Sahari Selatan, Kemayoran",-6.16040494,106.8404004,134,112.1
JPB222,"RT 6/RW 2, Gunung Sahari Selatan, Kemayoran",-6.159131992,106.8418175,61,50.6
JPB224,"RT 7/RW 4, Gunung Sahari Selatan, Kemayoran",-6.161981655,106.8419069,65,54.3
JPB227,"RT 08, 11/RW 7, Gunung Sahari Selatan, Kemayoran",-6.167768454,106.8405061,117,97.7
JPB228,"RT 1, 05, 04, 06, 07, 08, 09/RW 8, Gunung Sahari Selatan, Kemayoran",-6.170412,106.8419289,325,271.3
JPB229,"RT 3/RW 9, Gunung Sahari Selatan, Kemayoran",-6.157127314,106.847098,26,21.7
JPB231,"RT 05, 06/RW 1, Serdang, Kemayoran",-6.15670861,106.8595729,433,361.7
JPB231,"RT 11/RW 1, Serdang, Kemayoran",-6.155822471,106.8586359,433,361.7
